type,cities_count,id,name,slug,parent
2,,759,اهر,ahar,891
2,,3626,اهرم,aheram,900
4,,3494,اهواز,ahvaz-district,7
2,,3804,اورامان,uraman,885
2,,2715,اوز,owz,898
4,,115,اوقاف,oghaf,1
4,,57,اوین,evin,1
2,,4006,ایثار,isaar,886
4,,1200,ایثار,isar,3
4,,1149,ایثارگران,isargaran,3
2,,3697,ایجرود,ijrud,879
2,,797,ایذه,izeh,902
4,,991,ایران,tehran-iran,1
2,,807,ایرانشهر,Iranshahr,883
4,,298,ایرانشهر,iranshahr,1
2,,3727,ایرندگان,irandegan,883
4,,4060,ایرین,irin,29
2,,2720,ایزدخواست,izadkhvast,898
2,,1701,ایزدشهر,izadshahr,893
4,,3357,ایزی شهر,eyzi-shahr,316
4,,4479,ایقربلاغ,eyghrbolagh,1754
2,,32,ایلام,ilam,888
2,,3519,ایلخچی,ilkhchi,891
4,,1173,ایمان,iman,3
2,,2013,اینچه برون,inche-borun,897
2,,776,ایوان,eyvan,888
4,,1242,ایوان,ivan,3
4,,927,ایوانک,eivanak,1
2,,3718,ایوانکی,eyvanaki,882
2,,3545,ایواوغلی,ivauqli,881
2,,3639,بابا حیدر,baba-heydar,903
4,,4577,باباکوهی,babakoohi,6
4,,2393,باب الدشت,bab-aldasht,4
2,,1978,بابکان,babakan,893
2,,664,بابل,babol,893
2,,710,بابلسر,babolsar,893
4,,1428,بابوکان,babukan,4
4,,2365,بابوکان جنوبی,babookan-jonoobi,4
4,,1575,باتون,batoun,4
4,,603,باجک دو,bajak,8
4,,2653,باجک سه,bajk-se,8
4,,2577,باجک یک,bajak-yek,8
4,,4588,باجگاه,bajgah,6
2,,2950,باجگیران,bajgiran,880
2,,2951,باخزر,bakhzar,880
2,,2215,بادرود,badrood,890
4,,3352,بار,bar,318
4,,4228,باروت کوبی,barut-kubi,1763
2,,3536,باروق,baruq,881
4,,3267,بازار,bazar-torbat-heydariyeh,1776
4,,1362,بازار,bazaar-shiraz,6
4,,1934,بازار,rasht-bazaar,12
4,,93,بازار,bazaar,1
4,,2553,بازار,bazar,31
4,,3486,بازار آهن,bazar-ahan,7
4,,4387,بازار آهن,bazar-ahan-karaj,2
4,,4229,بازار آهن,bazar-ahan-rey,1763
4,,2281,بازار کاشان,bazar-kashan,30
4,,4234,بازار گل خاوران,bazar-gol-khavaran,1763
4,,4412,بازار مصالح ساختمانی,bazar-masaleh-sakhtemani,2
2,,3546,بازرگان,bazargan,881
2,,3643,بازفت,bazfat,903
4,,2136,بازکیاگوراب,bazkiya-gurab,746
4,,605,باسکول,emam,8
2,,3510,باسمنج,basmenj,891
2,,3899,باشت,basht,887
2,,2952,باشتین,bashtin,880
4,,4179,باشگاه نفت,bashgah-naft,1
4,,2623,باغ اشرافی,bagh-ashrafi,8
2,,2216,باغ بهادران,baagh-bahadoraan,890
4,,2644,باغ پنبه,bagh-panbeh,8
4,,1253,باغ تخت,bagh-e-takht,6
4,,2342,باغچه فیض,baaghche-feiz,30
2,,3703,باغ حلی,baagh-hali,879
4,,1022,باغ خزانه,bagh-khazaneh,1
4,,1532,باغ دریاچه,bagh-daryacheh,4
4,,217,باغ رضوان,baq-e-rezavan,1
4,,3334,باغرود,baghrud,318
4,,1589,باغ زرشک,bagh-zereshk,4
4,,2062,باغ زمانی,bagh-zamani,708
4,,1530,باغ زیار,bagh-ziar,4
4,,3349,باغستان,baghestan-mashhad,3
4,,573,باغستان,baghestan,2
2,,4028,باغستان,baghestan-city,904
4,,3269,باغ سلطانی,bagh-soltani,1776
4,,3301,باغ سنگان سفلی,bagh-sangan-sofla,791
4,,4355,باغ سیب,bagh-sib,2
4,,2363,باغشاد,baaghshaad,1745
4,,2602,باغ شازده,baagh-shazdeh,8
4,,2597,باغ شریفی,baagh-sharifi,8
4,,4492,باغشهر,baghshahr,1754
4,,2810,باغشهر اهل بیت,baghshahr-ahl-beyt,6
4,,4584,باغشهر بهارستان صدرا,baghshahr-baharestan-sadra,810
4,,4583,باغشهر دادگستری قدیم,baghshahr-dadgostari-ghadim,810
4,,2774,باغشهر قصر سبز,baghshahr-ghasr-sabz,6
4,,4582,باغشهر گلبهار صدرا,baghshahr-golbahar-sadra,810
4,,3450,باغ شیخ,bagh-sheykh,7
2,,2721,باغ صفا,bagh-safa,898
4,,1606,باغ فدک,bagh-fadak,4
4,,3369,باغ فراگرد,bagh-faragerd,3
4,,1539,باغ فردوس,bagh-ferdows-isfahan,4
4,,930,باغ فردوس,bagh-ferdows,1
4,,920,باغ فیض,bagh-feyz,1
4,,4076,باغ فیض,bagh-feyz-eslam-shahr,29
4,,2344,باغ فین,baagh-fin,30
4,,2371,باغ کاران,baagh-kaaraan,4
4,,2647,باغ کرباسی,bagh-karbasi,8
4,,1485,باغ گلها,nourbaran,4
4,,2357,باغ گیاهشناسی کاشان,baagh-giyahshenasi-kaashaan,30
4,,2302,باغ ماجد,bagh-majed,30
2,,3401,باغ ملک,bagh-malek,902
4,,2536,باغ ملی,baagh-melli,31
4,,3255,باغ ملی,bagh-melli,1776
4,,1591,باغ نگاره,baagh-negaare,4
4,,2538,باغ نو,baagh-no,31
4,,3168,باغ نو,bagh-no,318
